Parameter,Value at tick 1,Value at tick 2,Value at tick 3,Value at tick 4,Value at tick 5,Value at tick 6,Value at tick 7,Value at tick 8,Value at tick 9,Value at tick 10,Value at tick 11,Value at tick 12,Value at tick 13,Value at tick 14,Value at tick 15,Value at tick 16,Value at tick 17,Value at tick 18,Value at tick 19,Value at tick 20,Value at tick 21,Value at tick 22,Value at tick 23,Value at tick 24,Value at tick 25,Value at tick 26,Value at tick 27,Value at tick 28,Value at tick 29,Value at tick 30,Value at tick 31,Value at tick 32,Value at tick 33,Value at tick 34,Value at tick 35,Value at tick 36,Value at tick 37,Value at tick 38,Value at tick 39,Value at tick 40,Value at tick 41,Value at tick 42,Value at tick 43,Value at tick 44,Value at tick 45,Value at tick 46,Value at tick 47,Value at tick 48,Value at tick 49,Value at tick 50,Value at tick 51,Value at tick 52,Value at tick 53,Value at tick 54,Value at tick 55,Value at tick 56,Value at tick 57,Value at tick 58
total_stats_cpu2_dtlb_load_access_miss,55,64,153,72,0,22,25,24,24,12,0,0,174,294,191,0,0,0,0,0,0,0,0,6,4235975,68,0,15226,0,0,0,0,0,0,0,0,0,0,0,16124,16098,15811,16263,16065,0,176,2,1,4,39,0,0,5,5,7,5,200,0
total_stats_cpu2_dtlb_rfo__access,15814,5749,2908,14587,0,15990,15963,15848,15873,16091,0,0,6477,3871,7305,0,0,0,0,0,0,0,0,0,2500000,13880,0,15093,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,58,0,0,4,39,0,0,5,5,7,5,193,0
total_stats_cpu2_dtlb_rfo__access_hit,15734,5746,2899,14577,0,15983,15957,15841,15866,16091,0,0,6470,3856,7291,0,0,0,0,0,0,0,0,0,20626,13812,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,7,0
total_stats_cpu2_dtlb_rfo__access_miss,80,3,9,10,0,7,6,7,7,0,0,0,7,15,14,0,0,0,0,0,0,0,0,0,20115,68,0,4997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,8,67752,0,0,0,0,0,30,5530
total_stats_cpu2_dtlb_prefetch_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,511,6901,0,4986,0,0,0,0,0,0,0,0,177.162,10,11,0,0,0,0,0,0,38,0,0,0,8,67752,0,0,0,0,0,30,5519
total_stats_cpu2_dtlb_prefetch_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13025,6901,-n,11,0,0,0,0,0,0,0,0,68,1,1,0,0,0,0,0,0,110,0,0,0,0,0,67546,0,0,0,0,0,11
total_stats_cpu2_dtlb_prefetch_access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12588,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,0,0,0,0,24342,67545,0,0,0,0,0,5530
total_stats_cpu2_dtlb_writeback_access,0,0,0,0,1.37439,0,0,0,0,0,0,0,0,0,0,1.63686,1.65781,1.67199,1.68751,1.70104,1.71192,1.72485,1.73675,0,437,0,92,0,0,0,0,0,0,0,0,19.2222,68,0,0,0,0,0,0,0,0,5,0,0,0,0,24342,1,0,0,0,0,0,5519
total_stats_cpu2_dtlb_writeback_access_hit,0,0,0,0,687197,0,0,0,0,0,0,0,0,0,0,2618982,2818269,3009575,3206265,3402076,3595025,3794677,3994518,0,7601,0,3.87562,0,-n,-n,0,0,0,0,0,9660,60,1,1,0,0,0,0,0,0,8,0,0,0,0,0,24451,0,0,0,0,0,11
total_stats_cpu2_dtlb_writeback_access_miss,0,0,0,0,500000,0,0,0,0,0,0,10,0,0,0,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,0,7527,0,0,0,42129,40860,0,0,0,0,0,9658,0,1,1,0,0,0,0,0,0,0,0,0,1,0,43410,24450,0,0,1,1,0,0
total_stats_cpu2_itlb_total_access,17266,7242,2873,14766,34969,15698,15843,15663,15883,16810,11,10,7790,11384,12273,34665,34635,33760,34335,34288,33719,34449,34456,5216,74,0,0,0,42126,40857,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,1,0,43410,1,0,0,1,1,0,0
total_stats_cpu2_itlb_total_access_hit,17266,7230,2862,14765,34965,15698,15843,15663,15883,16810,11,0,7785,11378,12272,34654,34624,33715,34301,34260,33685,34445,34451,5161,0,0,0,0,3,3,0,0,0,0,0,9660,8,0,0,0,0,0,0,0,-n,0,0,0,0,0,0,43095,0,0,0,0,0,0
total_stats_cpu2_itlb_total_access_miss,0,12,11,1,4,0,0,0,0,0,0,10,5,6,1,11,11,45,34,28,34,4,5,55,0,0,96.1775,0,29557,28024,0,0,0,0,0,9658,0,0,0,0,0,0,0,0,61301,14,0,0,1.70729,66795,0,43095,1.73228,1.73841,1.74374,1.74825,35241,0
total_stats_cpu2_itlb_load_access,17266,7242,2873,14766,18340,15698,15843,15663,15883,16810,11,10,7790,11384,12273,18254,18266,18037,18176,18199,17975,18174,18263,5216,0,79,0.373548,0,29554,28021,0,0,0,0,0,2,8,0,0,0,0,0,0,0,61298,14,0,0,8195015,66792,0,0,9007866,9213586,9416223,9615362,35153,0
total_stats_cpu2_itlb_load_access_hit,17266,7230,2862,14765,18337,15698,15843,15663,15883,16810,11,0,7785,11378,12272,18246,18257,18002,18152,18177,17946,18170,18258,5161,0,61,41.3895,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8.68,8.75,4800000,3,0,0,5200000,5300000,5400000,5500000,88,0
total_stats_cpu2_itlb_load_access_miss,0,12,11,1,3,0,0,0,0,0,0,0,5,6,1,8,9,35,24,22,29,4,5,55,0,18,0,0,12572,12836,0,0,0,0,0,0,0,0,0,8.81818,8.875,8.81818,8.8,9,21128,1,18997,18299,37244,24227,0,0,36425,37664,37249,36828,15996,0
total_stats_cpu2_itlb_rfo__access,0,0,0,0,16629,0,0,0,0,0,0,0,0,0,0,16411,16369,15723,16159,16089,15744,16275,16193,0,0,71,0,0,12572,12836,-n,-n,-n,-n,-n,0,0,0,0,16076,15942,16647,16584,16738,21125,1,18997,18299,37189,24224,0,0,36370,37652,37226,36797,15916,0
total_stats_cpu2_itlb_rfo__access_hit,0,0,0,0,16628,0,0,0,0,0,0,0,0,0,0,16408,16367,15713,16149,16083,15739,16275,16193,0,6668,53,0.373109,0,0,0,1.64735,1.64553,1.64315,1.64248,1.64015,0,0,0,0,16076,15942,16647,16584,16738,3,0,0,0,55,3,0,0,55,12,23,31,80,0
total_stats_cpu2_itlb_rfo__access_miss,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,10,10,6,5,0,0,0,6661,18,0,0,0,0,4942041,5101145,5258086,5420172,5576513,0,0,0,0,0,0,0,0,0,40173,0,18997,18299,20716,42568,1.71187,0,20378,20767,20699,20558,19238,152
total_stats_cpu2_itlb_prefetch_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.000457522,36.7708,0,0,3000000,3100000,3200000,3300000,3400000,0,0,0,0,16076,15942,16647,16584,16738,40173,0,18997,18299,20668,42568,8559372,0,20327,20755,20676,20527,19230,144
total_stats_cpu2_itlb_prefetch_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6668,0,0,5896,0,0,33336,33645,33207,34023,33109,0,0,0,0,16076,15942,16647,16584,16738,0,0,0,0,48,0,5000000,1,51,12,23,31,8,8
total_stats_cpu2_itlb_prefetch_access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6661,0,96.2258,5889,0,0,33270,33555,33147,34002,33079,0,0,0,0,0,0,0,0,0,0,0,0,0,16528,0,37705,1,16047,16897,16550,16270,0,139
total_stats_cpu2_itlb_writeback_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.288242,7,0,0,66,90,60,21,30,0,0,0,0,0,0,0,0,0,0,191.076,0,0,16521,0,37666,0,16043,16897,16550,16270,0,132
total_stats_cpu2_itlb_writeback_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4678,5896,0,0,25537,25529,25256,26193,25513,0,0,0,0,0,0,0,0,0,0,118,0,0,7,0,39,1,4,0,0,0,0,7
total_stats_cpu2_itlb_writeback_access_miss,0,0,0,0,0,0,0,0,0,0,0,63619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5889,0,0,25471,25441,25198,26173,25486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20896,1,0,0,0,0,0,13
total_stats_cpu2_l1i_total_access,5148,1370,4648,6307,16283,7388,7151,7201,7056,6358,63896,63613,5404,5433,4962,16331,16196,15936,16037,15993,16561,16579,16627,138,0,8,0,7,0,0,66,88,58,20,27,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,20861,0,0,0,0,0,0,12
total_stats_cpu2_l1i_total_access_hit,5148,1238,4530,6290,16283,7388,7151,7201,7056,6358,63894,6,5342,5405,4950,16331,16196,15936,16037,15993,16561,16579,16627,117,0,8,0.287563,0,0,0,7799,8116,7951,7830,7596,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,35,0,0,0,0,0,0,1
total_stats_cpu2_l1i_total_access_miss,0,132,118,17,0,0,0,0,0,0,2,21770,62,28,12,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,7799,8114,7949,7829,7593,0,156.221,-n,-n,0,0,0,0,0,0,0,0,0,0,3,16809,0,0,0,0,0,113,0
total_stats_cpu2_l1i_load_access,5148,1370,4648,6307,16283,7388,7151,7201,7056,6358,21810,21764,5404,5433,4962,16331,16196,15936,16037,15993,16561,16579,16627,128,0,18,0.000696278,0,0,0,0,2,2,1,3,0,1.64454,1.65443,1.66118,0,0,0,0,0,0,110,0,0,0,2,16805,0,0,0,0,0,43,0
total_stats_cpu2_l1i_load_access_hit,5148,1238,4530,6290,16283,7388,7151,7201,7056,6358,21808,6,5342,5405,4950,16331,16196,15936,16037,15993,16561,16579,16627,109,0,0,0,0,0,0,0,0,0,0,0,0,5920339,6121389,6312482,0,0,0,0,0,0,8,0,0,0,1,4,0,0,0,0,0,70,0
total_stats_cpu2_l1i_load_access_miss,0,132,118,17,0,0,0,0,0,0,2,41849,62,28,12,0,0,0,0,0,0,0,0,19,0,18,96.199,0,0,0,0,0,0,0,0,9,3600000,3700000,3800000,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,97,0
total_stats_cpu2_l1i_rfo__access,0,0,0,0,0,0,0,0,0,0,42086,41849,0,0,0,0,0,0,0,0,0,0,0,10,0,18,0.385523,0,11,11.6667,0,0,0,0,0,16014,34803,34830,33700,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,35,0
total_stats_cpu2_l1i_rfo__access_hit,0,0,0,0,0,0,0,0,0,0,42086,0,0,0,0,0,0,0,0,0,0,0,0,8,10929,0,41.1466,0,3,3,0,0,0,0,0,15954,34799,34821,33664,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62,0
total_stats_cpu2_l1i_rfo__access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10881,18,0,0,3,3,0,0,0,0,0,60,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36120
total_stats_cpu2_l1i_prefetch_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,16014,18318,18289,17967,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,36039
total_stats_cpu2_l1i_prefetch_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10929,0,0.385076,0,3,3,0,0,0,0,0,15954,18315,18280,17932,0,0,0,0,0,3,0,0,0,0,0,0,1.72778,0,0,0,0,8,81
total_stats_cpu2_l1i_prefetch_access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10881,0,0,0,3,3,0,0,0,0,0,60,3,9,35,0,0,0,0,0,3,0,0,0,0,0,17152,8811682,0,0,0,0,0,15813
total_stats_cpu2_l1i_writeback_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0.000457607,0,0,0,0,0,0,0,0,0,16485,16541,15733,0,0,0,0,0,0,0,-n,-n,8.74545,0,17152,5100000,8.70909,8.66667,8.73913,8.87097,0,15741
total_stats_cpu2_l1i_writeback_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16484,16541,15732,-n,-n,-n,-n,-n,3,0,4991,6358,18103,0,0,37608,19609,20154,20285,19793,0,72
total_stats_cpu2_l1i_writeback_access_miss,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.2478,0,0,0,0,0,0,0,0,0,1,0,1,6971,7101,6257,6739,6314,3,0,4990,6358,18103,0,17152,37579,19609,20154,20285,19793,8,20299
total_stats_cpu2_stlb_total_access,135,79,173,83,7373,29,31,31,31,12,2,6,186,315,206,7102,7066,6806,7080,7177,6201,6838,6583,44951,0,0,0.387602,0,0,0,0,0,0,0,0,0,0,0,0,6971,7101,6257,6739,6314,0,0,1,0,0,0,17152,29,0,0,0,0,8,20291
total_stats_cpu2_stlb_total_access_hit,126,10,122,78,7373,28,28,28,29,12,1,0,173,301,188,7102,7066,6806,7080,7177,6201,6838,6583,44851,0,0,41.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4991,6358,18103,0,0,20908,19609,20154,20285,19793,0,8
total_stats_cpu2_stlb_total_access_miss,9,69,51,5,0,1,3,3,2,0,1,6,13,14,18,0,0,0,0,0,0,0,0,100,0,0,0,187.143,0,0,9,9,9,9,9,0,0,0,0,6971,7101,6257,6739,6314,0,0,4990,6358,18103,1,0,20882,19609,20154,20285,19793,70,0
total_stats_cpu2_stlb_load_access,55,76,164,73,7373,22,25,24,24,12,2,6,179,300,192,7102,7066,6806,7080,7177,6201,6838,6583,15878,0,1.65716,0,14480,0,0,9233,9138,9281,9569,9393,0,0,0,0,6971,7101,6257,6739,6314,0,0,1,0,0,0,0,26,0,0,0,0,0,0
total_stats_cpu2_stlb_load_access_hit,46,10,113,70,7373,21,22,21,22,12,1,0,168,287,176,7102,7066,6806,7080,7177,6201,6838,6583,15790,0,4308626,0.387144,14395,0,0,9233,9138,9281,9569,9393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16700,0,0,0,0,70,0
total_stats_cpu2_stlb_load_access_miss,9,66,51,3,0,1,3,3,2,0,1,0,11,13,16,0,0,0,0,0,0,0,0,88,0,2600000,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.186,0,0,0,1,0,16697,0,0,0,0,62,0
total_stats_cpu2_stlb_rfo__access,80,3,9,10,0,7,6,7,7,0,0,0,7,15,14,0,0,0,0,0,0,0,0,29053,0,18674,0.000457888,14480,0,0,9233,9138,9281,9569,9393,0,0,0,0,0,0,0,0,0,0,1.6615,0,0,0,0,0,3,0,0,0,0,0,0
total_stats_cpu2_stlb_rfo__access_hit,80,0,9,8,0,7,6,7,7,0,0,0,5,14,12,0,0,0,0,0,0,0,0,29042,518,18367,0,14395,0,0,9233,9138,9281,9569,9393,0,0,0,0,0,0,0,0,0,0,7476765,0,0,0,1,0,0,0,0,0,0,62,0
total_stats_cpu2_stlb_rfo__access_miss,0,3,0,2,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,11,508,307,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0,0,0,0,8,102
total_stats_cpu2_stlb_prefetch_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14010,1.65789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21067,0,0,0,0,0,0,0,0,0,0,0,32
total_stats_cpu2_stlb_prefetch_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,13749,4476312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20828,0,0,0,0,0,0,0,0,0,0,8,70
total_stats_cpu2_stlb_prefetch_access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,261,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,6141,0,0,0,0,0,0,83
total_stats_cpu2_stlb_writeback_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4664,22178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14303,0,0,0,0,6141,0,0,0,0,0,0,21
total_stats_cpu2_stlb_writeback_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4618,22065,0,0,0,0,0,0,0,0,13.7833,9,8.66667,8.80556,0,0,0,0,0,0,14095,0,0,0,0,0,0,0,0,0,0,0,62
total_stats_cpu2_stlb_writeback_access_miss,0,0,0,0,0,0,0,0,0,0,0,1.70903,0,0,0,0,0,0,0,0,0,0,0,0,74,46,113,0,-n,-n,0,0,0,0,0,146,16437,15894,15804,0,0,0,0,0,0,208,0,0,0,0,6141,0,0,0,0,0,0,8
total_stats_cpu2_l1d_total_access,63491,23078,12458,57513,4,62988,62940,62603,62562,63625,1,2050831,28943,19903,31693,11,11,45,34,28,34,4,5,162,0,0,16786,0,1.65254,1.64994,0,0,0,0,0,138,16437,15894,15804,0,0,0,0,0,0,6764,0,0,0,0,6141,0,0,0,0,0,0,0
total_stats_cpu2_l1d_total_access_hit,63458,22953,12171,57452,4,62981,62932,62598,62557,63619,0,1200000,28849,19820,31576,11,11,45,34,28,34,4,5,38,0,0,16682,0,4627104,4784838,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6733,0,0,0,0,0,0,0,0,0,0,0,8
total_stats_cpu2_l1d_total_access_miss,33,125,287,61,0,7,8,5,5,6,1,35003,94,83,117,0,0,0,0,0,0,0,0,124,0,0,104,0,2800000,2900000,0,0,0,0,0,136,16437,15894,15804,0,0,0,0,0,-n,31,0,0,0,1.71406,0,0,0,0,0,0,1.74102,0
total_stats_cpu2_l1d_load_access,22062,8462,6675,19803,3,21609,21505,21424,21473,21703,1,34990,13516,12152,14147,8,9,35,24,22,29,4,5,143,0,0,5392,0,34514,33418,0,0,0,0,0,129,16437,15894,15804,0,0,0,0,0,1.6916,0,0,0,0,8398871,0,0,0,0,0,0,9749686,0
total_stats_cpu2_l1d_load_access_hit,22029,8356,6389,19754,3,21602,21498,21419,21468,21697,0,13,13430,12077,14041,8,9,35,24,22,29,4,5,28,0,0,5383,0,34492,33357,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7443044,0,0,0,0,4900000,0,0,0,0,0,0,5600000,0
total_stats_cpu2_l1d_load_access_miss,33,106,286,49,0,7,7,5,5,6,1,18601,86,75,106,0,0,0,0,0,0,0,0,115,0,0,9,0,22,61,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4400000,0,10,-n,-n,37399,0,8.68966,-n,-n,-n,-n,21603,10
total_stats_cpu2_l1d_rfo__access,41420,14547,5735,37705,1,41378,41432,41176,41087,41922,0,18588,15414,7738,17528,3,2,10,10,6,5,0,0,11,0,10551,0,0,26676,25511,0,0,0,0,0,9,0,0,0,-n,-n,-n,-n,-n,25013,0,25,8,5717,37365,0,18133,3671,3859,3493,3787,21353,10
total_stats_cpu2_l1d_rfo__access_hit,41420,14529,5735,37693,1,41378,41432,41176,41087,41922,0,13,15406,7730,17517,3,2,10,10,6,5,0,0,2,31268,10545,0,0,26656,25450,0,0,0,0,0,1,0,0,0,22,16,22,10,11,24835,0,25,8,5717,34,0,18133,3671,3859,3492,3787,250,0
total_stats_cpu2_l1d_rfo__access_miss,0,18,0,12,0,0,0,0,0,0,0,16402,8,8,11,0,0,0,0,0,0,0,0,9,31172,6,0,0,20,61,0,0,0,0,0,0,0,0,0,22,16,22,10,11,178,0,0,0,0,20807,0,0,0,0,1,0,16021,70
total_stats_cpu2_l1d_prefetch_access,0,0,0,0,0,0,0,0,0,0,0,16402,0,0,0,0,0,0,0,0,0,0,0,0,96,10551,0,0,7838,7907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15018,0,23,7,5717,20779,0,18133,3671,3859,3493,3787,15805,0
total_stats_cpu2_l1d_prefetch_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13757,10545,0,195.906,7836,7907,-n,-n,-n,-n,-n,0,0,0,0,18,16,22,10,11,14859,0,23,7,5717,28,0,18133,3671,3859,3492,3787,216,70
total_stats_cpu2_l1d_prefetch_access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13670,6,0,151,2,0,24521,24887,24929,26555,25331,0,0,0,0,18,16,22,10,11,159,0,0,0,0,16592,39,0,0,0,1,0,5582,62
total_stats_cpu2_l1d_writeback_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,87,0,6449,126,0,0,24521,24887,24929,26555,25331,0,0,0,0,0,0,0,0,0,9995,0,2,1,0,16586,39,0,0,0,0,0,5548,0
total_stats_cpu2_l1d_writeback_access_hit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17502,0,6442,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9976,0,2,1,0,6,0,0,0,0,0,0,34,62
total_stats_cpu2_l1d_writeback_access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17493,0,7,140,0,0,24521,24887,24929,26555,25331,0,0,0,0,4,0,0,0,0,19,0,0,0,0,0,35,0,0,0,0,0,0,8
total_stats_cpu2_l2c_total_access,33,257,408,82,65523,7,9,5,5,6,1.68494,0,161,117,140,64912,64559,62111,63708,63591,62107,64340,63993,124,9,0,6449,118,0,0,24521,24887,24929,26555,25331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
total_stats_cpu2_l2c_total_access_hit,0,0,27,30,65519,4,3,0,1,5,1853437,0,49,36,45,64910,64556,62107,63703,63588,62099,64338,63990,0,0,0,6442,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1925,0,0,0,0,0,0,0,0,0,0,0,8
total_stats_cpu2_l2c_total_access_miss,33,257,381,52,4,3,6,5,4,1,1100000,16534,112,81,95,2,3,4,5,3,8,2,3,124,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12530,0,0,0,0,4,0,0,0,0,0,0,0
total_stats_cpu2_l2c_load_access,33,238,404,66,22122,7,7,5,5,6,34973,16534,148,103,118,22017,21934,21522,21799,21760,21483,21817,21845,115,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12526,0,0,0,0,4,0,0,0,0,0,0,0
total_stats_cpu2_l2c_load_access_hit,0,0,24,23,22118,4,1,0,1,5,34964,0,44,30,31,22015,21931,21518,21794,21757,21475,21815,21842,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
total_stats_cpu2_l2c_load_access_miss,33,238,380,43,4,3,6,5,4,1,9,16534,104,73,87,2,3,4,5,3,8,2,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12530,0,0,0,0,0,0,0,0,0,0,0,0
total_stats_cpu2_l2c_rfo__access,0,18,0,12,43401,0,0,0,0,0,18505,16534,8,8,11,42895,42625,40589,41909,41831,40624,42523,42148,9,0,7085,0,0,0,0,0,0,0,0,0,185.625,-n,-n,-n,0,0,0,0,0,0,12526,0,0,0,0,0,0,0,0,0,0,0,0
total_stats_cpu2_l2c_rfo__access_hit,0,0,0,3,43401,0,0,0,0,0,18496,0,0,0,3,42895,42625,40589,41909,41831,40624,42523,42148,0,149,7051,0,0,0,0,0,0,0,0,0,39722,7086,7734,6969,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
total_stats_cpu2_l2c_rfo__access_miss,0,18,0,9,0,0,0,0,0,0,9,0,8,8,8,0,0,0,0,0,0,0,0,9,50,34,0,0,0,0,0,0,0,0,0,39633,7084,7734,6969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72938
total_stats_cpu2_l2c_prefetch_access,0,0,0,0,0,0,0,0,0,0,16468,0,0,0,0,0,0,0,0,0,0,0,0,0,99,7085,0,0,0,0,0,0,0,0,0,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9857488
total_stats_cpu2_l2c_prefetch_access_hit,0,0,0,0,0,0,0,0,0,0,16468,0,0,0,0,0,0,0,0,0,0,0,0,0,135,7051,0,0,9,9,0,0,0,0,0,21567,7086,7734,6969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700000
total_stats_cpu2_l2c_prefetch_access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34,0,0,9529,9315,0,0,0,0,0,21488,7084,7734,6969,0,0,0,0,0,0,0,0,0,0,0,67954,0,0,0,0,0,0,24095
total_stats_cpu2_l2c_writeback_access,0,0,3,4,0,0,1,0,0,0,0,0,5,6,11,0,0,0,0,0,0,0,0,0,90,0,16415,0,9529,9315,0,0,0,0,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0,8.67647,67954,0,0,0,0,0,14.312,23943
total_stats_cpu2_l2c_writeback_access_hit,0,0,3,4,0,0,1,0,0,0,0,0,5,6,11,0,0,0,0,0,0,0,0,0,9,0,16333,0,0,0,0,0,0,0,0,18147,0,0,0,0,0,0,0,0,25.4944,0,-n,-n,-n,18618,0,-n,-n,-n,10,-n,13842,152
total_stats_cpu2_l2c_writeback_access_miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,9529,9315,0,0,0,0,0,18137,0,0,0,-n,-n,-n,-n,-n,13181,0,67611,69723,55,18618,24542,6007,55,12,23,31,13838,15739
total_stats_cpu2_llc_total_access,33,257,381,52,4,3,6,5,4,1,0,0,112,81,95,2,3,5,6,3,8,2,3,1.72134,9,0,16415,0,9529,9315,0,0,0,0,0,10,0,0,0,63640,63571,62368,64222,63617,13177,0,67603,69719,55,0,24542,6007,55,12,23,31,4,15600
total_stats_cpu2_llc_total_access_hit,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,3,5,6,3,8,2,3,4131225,0,0,16333,0,0,0,0,0,0,0,0,0,0,0,0,63639,63570,62366,64219,63615,4,0,8,4,0,18618,0,0,0,0,0,0,13842,139
total_stats_cpu2_llc_total_access_miss,33,257,381,52,0,3,6,5,4,1,0,6434,112,81,95,0,0,0,0,0,0,0,0,2400000,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,13181,0,24354,24995,48,18618,43412,6007,51,12,23,31,13838,8356
