Parameter,Value at tick 1,Value at tick 2,Value at tick 3,Value at tick 4,Value at tick 5,Value at tick 6,Value at tick 7,Value at tick 8,Value at tick 9,Value at tick 10,Value at tick 11,Value at tick 12,Value at tick 13,Value at tick 14,Value at tick 15,Value at tick 16,Value at tick 17,Value at tick 18,Value at tick 19,Value at tick 20,Value at tick 21,Value at tick 22,Value at tick 23,Value at tick 24,Value at tick 25,Value at tick 26,Value at tick 27,Value at tick 28,Value at tick 29,Value at tick 30,Value at tick 31,Value at tick 32,Value at tick 33,Value at tick 34,Value at tick 35,Value at tick 36,Value at tick 37,Value at tick 38,Value at tick 39,Value at tick 40,Value at tick 41,Value at tick 42,Value at tick 43,Value at tick 44,Value at tick 45,Value at tick 46,Value at tick 47,Value at tick 48,Value at tick 49,Value at tick 50,Value at tick 51,Value at tick 52,Value at tick 53,Value at tick 54,Value at tick 55,Value at tick 56,Value at tick 57,Value at tick 58
system_info_cpu3_indirect_buffer_size,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096
system_info_cpu3_ras_size,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
system_info_cpu_0_runs,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz
system_info_cpu_1_runs,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz
system_info_cpu_2_runs,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz
system_info_cpu_3_runs,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz,600.perlbench_s-210B.champsimtrace.xz
cpu_0_branch_predictor,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal
cpu_1_branch_predictor,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal
cpu_2_branch_predictor,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal
cpu_3_branch_predictor,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal,Bimodal
total_stats_cpu_0_cumulative_ipc,1.96192,1.33302,1.02792,1.2333,1.38911,1.48168,1.54668,1.59387,1.63027,1.6659,1.69494,0,1.6809,1.64264,1.61793,1.64191,1.66208,1.67578,1.69074,1.70382,1.71476,1.7275,1.73873,1.72242,38,0,2,0,-n,-n,0,0,0,0,0,30698,7,14,25,0,0,0,0,0,0,0,33272,17731,0,0,24647,0,0,0,0,0,0,17512
total_stats_cpu_0_cumulative_ipc_instructions,196192,266605,308376,493320,694553,889009,1082674,1275095,1467246,1665898,1864430,0,2185164,2299691,2426897,2627051,2825539,3016401,3212399,3407638,3600999,3800490,3999074,4133799,0,208.1,57,0,24,24844,0,0,0,0,0,30660,7,14,25,0,0,0,0,0,0,255,33162,17731,0,0,0,35,0,0,0,0,0,70
total_stats_cpu_0_cumulative_ipc_cycles,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,8,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,0,31248,55,0,24,24844,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,243,110,0,1,0,43759,35,0,0,0,1,0,27595
total_stats_cpu0_dtlb_total_access,36062,13576,10188,33056,35574,34766,34494,34390,34378,35098,35070,7,23768,19111,22460,35439,35252,34360,34945,34913,34550,35212,35035,24613,0,31154,2,0,0,0,0,0,0,0,0,23719,1,0,1,0,0,0,0,0,10.125,12,18306,17731,1,0,43759,0,0,0,0,1,0,27587
